codigo,marca,tipo,categoria,preco_unitario,custo,obs
KBRA000101,Razer,Teclado,1,599.90,320.00,Teclado mecânico RGB
MSRA000102,Razer,Mouse,1,349.90,180.00,
MOLO000201,Logitech,Mouse,2,129.90,65.00,
HEAD000301,HyperX,Fone,1,299.90,150.00,
MONS000401,Samsung,Monitor,1,899.90,520.00,
MONL000402,LG,Monitor,2,1099.90,640.00,
NOTE000501,Dell,Notebook,1,4599.00,3100.00,
NOTE000502,Lenovo,Notebook,2,3899.00,2500.00,
CELS000601,Samsung,Celular,1,2499.00,1700.00,
CELX000602,Xiaomi,Celular,2,1899.00,1200.00,
CELA000603,Apple,Celular,3,6999.00,4500.00,Modelo premium
TVSO000701,Sony,Televisao,1,3299.00,2100.00,
TVLG000702,LG,Televisao,2,2799.00,1800.00,
TVSA000703,Samsung,Televisao,3,3599.00,2400.00,
CAMC000801,Canon,Camera,1,2899.00,1900.00,
CAMN000802,Nikon,Camera,2,3199.00,2100.00,
RELO000901,Garmin,Relogio,1,1499.00,950.00,
RELS000902,Samsung,Relogio,2,999.00,620.00,
ACAP001001,Apple,Acessorio,1,199.90,90.00,
ACSA001002,Samsung,Acessorio,2,149.90,70.00,
CADE001101,DXRacer,Cadeira,1,1899.00,1200.00,
MESG001102,GamerPro,Mesa,1,999.90,550.00,
ROTE001201,TP-Link,Roteador,1,399.90,210.00,
SSD001301,Kingston,SSD,1,499.90,280.00,
HD001302,Seagate,HD,1,399.90,220.00,
PLVI001401,Nvidia,PlacaVideo,1,3499.00,2500.00,Alta performance
PROC001501,Intel,Processador,1,2199.00,1600.00,
MEMO001601,Corsair,MemoriaRAM,1,799.90,450.00,
GABI001701,CoolerMaster,Gabinete,1,599.90,320.00,
FONTE001801,EVGA,Fonte,1,699.90,390.00,
